Field name,Field type,Events,Users,Sessions,Pages,Transactions,Products,Open_Funnel,Closed_Funnel,GTM_Performances,Consents
delay_in_milliseconds,Metric,,,,,,,,,X,
delay_in_seconds,Metric,,,,,,,,,X,
device_model,Dimension,X,,,,,,,,,
device_type,Dimension,X,,,,,,,,,
device_vendor,Dimension,X,,,,,,,,,
ecommerce,Dimension (JSON object),X,,,,,,,,X,
engaged_session,Metric,,,X,,,,,,,X
engaged_sessions_percentage,Metric,,,X,,,,,,,
event_data,Dimension (Array object),X,,,,,,,,X,
event_date,Dimension,X,,,,X,X,X,X,X,
event_datetime,Dimension,,,,,,,,,X,
event_id,Dimension,X,,,,,,,,X,
event_name,Dimension,X,,,,X,X,,,X,
event_number,Dimension,X,,,,,,,,X,
event_origin,Dimension,X,,,,,,,,X,
event_timestamp,Dimension,X,,,,X,X,,,X,
event_type,Dimension,X,,,,,,,,,
first_purchase_timestamp,Dimension,,X,,,,,,,,
functionality_storage,Dimension,X,,,,,,,,,
functionality_storage_accepted_percentage,Metric,,,X,,,,,,,
functionality_storage_denied_percentage,Metric,,,X,,,,,,,
hostname,Dimension,X,,,,,,,,,
is_customer,Dimension,,X,,,,,,,,
item_affiliation,Dimension,,,,,,X,,,,
item_brand,Dimension,,,,,,X,,,,
item_category,Dimension,,,,,,X,,,,
item_category_2,Dimension,,,,,,X,,,,
item_category_3,Dimension,,,,,,X,,,,
item_category_4,Dimension,,,,,,X,,,,
item_category_5,Dimension,,,,,,X,,,,
item_coupon,Dimension,,,,,,X,,,,
item_discount,Dimension,,,,,,X,,,,
item_id,Dimension,,,,,,X,,,,
item_list_id,Dimension,,,,,,X,,,,
item_list_name,Dimension,,,,,,X,,,,
item_name,Dimension,,,,,,X,,,,
item_purchase_revenue,Metric,,,,,,X,,,,
item_quantity_added_to_cart,Metric,,,,,,X,,,,
item_quantity_purchased,Metric,,X,,,,X,,,,
item_quantity_refunded,Metric,,X,,,,X,,,,
item_quantity_removed_from_cart,Metric,,,,,,X,,,,
item_refund_revenue,Metric,,,,,,X,,,,
item_revenue_net_refund,Metric,,,,,,X,,,,
item_unique_purchases,Metric,,,,,,X,,,,
item_variant,Metric,,,,,,X,,,,
last_purchase_timestamp,Dimension,,X,,,,,,,,
list_id,Dimension,,,,,,X,,,,
list_name,Dimension,,,,,,X,,,,
new_customers,Metric,,X,,,,,,,,
new_session,Metric,X,,X,,,,,,,
new_sessions_percentage,Metric,,,X,,,,,,,
new_user,Metric,X,,X,X,X,X,X,X,X,X
new_user_client_id,Dimension,,X,,,,,,,,
os_name,Dimension,X,,,,,,,,,
os_version,Dimension,X,,,,,,,,,
page_category,Dimension,X,,,X,,,,,,
page_data,Dimension (Array object),X,,,,,,,,X,
page_date,Dimension,X,,,X,,,,,,
page_extension,Dimension,X,,,,,,,,,
page_fragment,Dimension,X,,,,,,,,,
page_hostname,Dimension,X,,,X,,,,,,
page_hostname_protocol,Dimension,X,,,,,,,,,
page_id,Dimension,X,,,X,,,,,,
page_language,Dimension,X,,,,,,,,,
page_load_datetime,Dimension,,,,X,,,,,,
page_load_time_sec,Dimension,,,,X,,,,,,
page_load_timestamp,Dimension,X,,,,,,,,,
page_location,Dimension,X,,,X,,,,,,
page_query,Dimension,X,,,,,,,,,
page_referrer,Dimension,X,,,,,,,,,
page_status_code,Dimension,X,,,X,,,,,,
page_title,Dimension,X,,,X,,,,,,
page_unload_datetime,Dimension,,,,X,,,,,,
page_unload_timestamp,Dimension,X,,,,,,,,,
page_view,Metric,,X,X,X,,,,,,
page_view_number,Dimension,X,,,X,,,,,,
page_view_per_session,Metric,,,X,,,,,,,
personalization_storage,Dimension,X,,,,,,,,,
processing_event_timestamp,Dimension,X,,,,,,,,X,
promotion_id,Dimension,,,,,,X,,,,
promotion_name,Dimension,,,,,,X,,,,
purchase,Metric,,X,X,,,,,,,
purchase_net_refund,Metric,,,X,,,,,,,
purchase_revenue,Metric,,X,X,,X,,,,,
purchase_shipping,Metric,,,X,,X,,,,,
purchase_tax,Metric,,,X,,X,,,,,
purchase_transaction_id,Dimension,,,,,X,,,,,
refund,Metric,,X,X,,,,,,,
refund_revenue,Metric,,X,X,,X,,,,,
refund_shipping,Metric,,,X,,X,,,,,
refund_tax,Metric,,,X,,X,,,,,
refund_transaction_id,Metric,,,,,X,,,,,
remove_from_cart,Metric,,,X,,,X,,,,
respect_consent_mode,Dimension,X,,,,,,,,,
returning_customers,Metric,,X,,,,,,,,
returning_session,Metric,X,,X,,,,,,,
returning_sessions_percentage,Metric,,,X,,,,,,,
returning_user,Metric,X,,X,X,X,X,X,X,X,X
returning_user_client_id,Dimension,,X,,,,,,,,
revenue_net_refund,Metric,,X,X,,,,,,,
screen_size,Dimension,X,,,,,,,,,
search_term,Dimension,X,,,,,,,,,
security_storage,Dimension,X,,,,,,,,,
security_storage_accepted_percentage,Metric,,,X,,,,,,,
security_storage_denied_percentage,Metric,,,X,,,,,,,
select_item,Metric,,,X,,,X,,,,
select_promotion,Metric,,,,,,X,,,,
session_ad_personalization,Dimension,,,X,,,,,,,
session_ad_storage,Dimension,,,X,,,,,,,
session_ad_user_data,Dimension,,,X,,,,,,,
session_analytics_storage,Dimension,,,X,,,,,,,
session_browser_name,Dimension,X,,X,X,X,X,X,X,X,X
session_campaign,Dimension,X,,X,X,X,X,X,X,X,X
session_campaign_click_id,Dimension,X,,X,X,X,X,,,X,
session_campaign_content,Dimension,X,,X,X,X,X,,,X,
session_campaign_id,Dimension,X,,X,,X,X,,,X,
session_campaign_term,Dimension,X,,X,X,X,X,,,X,
session_channel_grouping,Dimension,X,,X,X,X,X,X,X,X,X
session_city,Dimension,X,,X,X,X,X,X,X,X,X
session_conversion_rate,Metric,,,X,,,,,,,
session_country,Dimension,X,,X,X,X,X,X,X,X,X
session_data,Dimension (Array object),X,,,,,,,,,
session_date,Dimension,X,,X,X,X,X,X,X,X,X
session_device_type,Dimension,X,,X,X,X,X,X,X,X,X
session_duration_sec,Metric,X,X,X,,,,,X,,X
session_end_timestamp,Dimension,X,,,,X,X,,X,X,
session_exit_page_category,Dimension,X,,X,X,X,X,,X,X,X
session_exit_page_location,Dimension,X,,X,X,X,X,,X,X,X
session_exit_page_title,Dimension,X,,X,X,X,X,,X,X,X
session_functionality_storage,Dimension,,,X,,,,,,,
session_hostname,Dimension,X,,X,X,X,X,,X,X,X
session_id,Dimension,X,,X,X,X,X,X,X,X,X
session_id_consent_expressed,Dimension,,,,,,,,,,X
session_id_consent_mode_not_present,Dimension,,,,,,,,,,X
session_id_consent_not_expressed,Dimension,,,,,,,,,,X
session_id_next_step,Dimension,,,,,,,X,X,,
session_landing_page_category,Dimension,X,,X,X,X,X,,X,X,X
session_landing_page_location,Dimension,X,,X,X,X,X,,X,X,X
session_landing_page_title,Dimension,X,,X,X,X,X,,X,X,X
session_language,Dimension,X,,X,X,X,X,X,X,X,X
session_number,Dimension,X,,X,X,X,X,X,X,X,X
session_personalization_storage,Dimension,,,X,,,,,,,
session_security_storage,Dimension,,,X,,,,,,,
session_source,Dimension,X,,X,X,X,X,X,X,X,X
session_source_cleaned,Dimension,X,,,,,,,,,
session_start_timestamp,Dimension,X,,X,X,X,X,,X,X,X
session_tld_source,Dimension,X,,,,,,X,X,,
session_type,Dimension,X,,,X,X,X,,,X,
session_value,Metric,,,X,,,,,,,
sessions,Metric,,X,,,,,,,,
sessions_per_user,Metric,,X,,,,,,,,
shipping_net_refund,Metric,,,X,,,,,,,
source,Dimension,X,,,,,,,,,
source_cleaned,Dimension,X,,,,,,,,,
ss_container_id,Dimension,X,,,,,,,,X,
ss_hostname,Dimension,X,,,,,,,,X,
ss_tag_id,Dimension,X,,,,,,,,,
ss_tag_name,Dimension,X,,,,,,,,,
status,Dimension,,,,,,,X,,,
step_index,Dimension,,,,,,,X,,,
step_index_next_step,Dimension,,,,,,,X,,,
step_index_next_step_real,Dimension,,,,,,,X,,,
step_name,Dimension,,,,,,,X,X,,
tax_net_refund,Metric,,,X,,,,,,,
time_on_page,Metric,X,,,X,,,,,,
tld_source,Dimension,X,,,,,,,,,
total_page_load_time,Metric,X,,,,,,,,,
transaction_coupon,Dimension,,,,,X,,,,,
transaction_currency,Dimension,,,,,X,,,,,
transaction_id,Dimension,,,,,X,X,,,,
user_agent,Dimension,X,,,,,,,,,
user_campaign,Dimension,X,X,X,X,X,X,X,X,X,X
user_campaign_click_id,Dimension,X,X,X,X,X,X,,,X,
user_campaign_content,Dimension,X,X,X,X,X,X,,,X,
user_campaign_id,Dimension,X,X,X,X,X,X,,,X,
user_campaign_term,Dimension,X,X,X,X,X,X,,,X,
user_channel_grouping,Dimension,X,X,X,X,X,X,X,X,X,X
user_city,Dimension,X,X,X,X,X,X,X,X,X,
user_conversion_rate,Metric,,X,,,,,,,,
user_country,Dimension,X,X,X,X,X,X,X,X,X,X
user_data,Dimension (Array object),X,,,,,,,,,
user_date,Dimension,X,X,X,X,X,X,X,X,X,X
user_device_type,Dimension,X,X,X,X,X,X,X,X,X,X
user_first_session_timestamp,Dimension,X,,,,,,,,,
user_id,Dimension,X,X,X,X,X,X,X,X,X,X
user_id_next_step,Dimension,,,,,,,,X,,
user_language,Dimension,X,X,X,X,X,X,X,X,X,X
user_last_session_timestamp,Dimension,X,,,,,,,,,
user_source,Dimension,X,X,X,X,X,X,X,X,X,X
user_source_cleaned,Dimension,X,,,,,,,,,
user_tld_source,Dimension,X,,,,,,X,X,,
user_type,Dimension,X,X,X,X,X,X,X,X,X,X
user_value,Dimension,,X,,,,,,,,
view_cart,Metric,,,X,,,X,,,,
view_item,Metric,,,X,,,X,,,,
view_item_list,Metric,,,X,,,X,,,,
view_promotion,Metric,,,X,,,X,,,,
viewport_size,Metric,X,,,,,,,,,
